id,author,affiliation,longitude,latitude
2310.08338,Charles C. Onu,"Ubenwa Health, Montréal, Canada",-73.5673,45.5017
2310.08338,Charles C. Onu,"Mila-Québec AI Institute, Montréal, Canada",-73.5673,45.5017
2310.08338,Charles C. Onu,"McGill University, Montréal, Canada",-73.5827,45.5048
2310.08338,Samantha Latremouille,"Ubenwa Health, Montréal, Canada",-73.5673,45.5017
2310.08338,Arsenii Gorin,"Ubenwa Health, Montréal, Canada",-73.5673,45.5017
2310.08338,Junhao Wang,"Ubenwa Health, Montréal, Canada",-73.5673,45.5017
2310.08338,Uchenna Ekwochi,"Enugu State University Teaching Hospital, Enugu, Nigeria",7.5086,6.5244
2310.08338,Peter O. Ubuane,"Lagos State University Teaching Hospital, Lagos, Nigeria",3.3792,6.5244
2310.08338,Omolara A. Kehinde,"Lagos State University Teaching Hospital, Lagos, Nigeria",3.3792,6.5244
2310.08338,Omolara A. Kehinde,"Lagos State University College of Medicine, Lagos, Nigeria",3.3792,6.5244
2310.08338,Muhammad A. Salisu,"Lagos State University Teaching Hospital, Lagos, Nigeria",3.3792,6.5244
2310.08338,Muhammad A. Salisu,"Lagos State University College of Medicine, Lagos, Nigeria",3.3792,6.5244
2310.08338,Datonye Briggs,"Rivers State University Teaching Hospital, Port Harcourt, Nigeria",7.0085,4.8156
2310.08338,Yoshua Bengio,"Mila-Québec AI Institute, Montréal, Canada",-73.5673,45.5017
2310.08338,Yoshua Bengio,"Université de Montréal, Montréal, Canada",-73.6128,45.5088
2310.08338,Doina Precup,"Mila-Québec AI Institute, Montréal, Canada",-73.5673,45.5017
2310.08338,Doina Precup,"McGill University, Montréal, Canada",-73.5827,45.5048
2310.08338,Doina Precup,"DeepMind, Montréal, Canada",-73.5673,45.5017
2310.14581,Shuhei Yokoo,LINE Corporation,139.703549,35.689634
2310.14581,Peifei Zhu,LINE Corporation,139.703549,35.689634
2310.14581,Yuchi Ishikawa,LINE Corporation,139.703549,35.689634
2310.14581,Mikihiro Tanaka,LINE Corporation,139.703549,35.689634
2310.14581,Masayoshi Kondo,LINE Corporation,139.703549,35.689634
2310.14581,Hirokatsu Kataoka,LINE Corporation,139.703549,35.689634
2310.02527,Tao Feng,Tsinghua University,116.326,40.0036
2310.02527,Zifeng Wang,University of Illinois Urbana Champaign,-88.2272,40.102
2310.02527,Jimeng Sun,University of Illinois Urbana Champaign,-88.2272,40.102
2310.08102,Muhammad Razif Rizqullah,"School of Electrical Engineering and Informatics, Bandung Institute of Technology. Bandung, Indonesia",107.6107,-6.8915
2310.08102,Ayu Purwarianti,"School of Electrical Engineering and Informatics, Bandung Institute of Technology. Bandung, Indonesia",107.6107,-6.8915
2310.08102,Alham Fikri Aji,"Mohamed bin Zayed University of Artificial Intelligence, Abu Dhabi, UAE",54.3278,24.4642
2310.07899,Sumedh A Sontakke,"Thomas Lord Department of Computer Science, University of Southern California",-118.285117,34.022352
2310.07899,Jesse Zhang,"Thomas Lord Department of Computer Science, University of Southern California",-118.285117,34.022352
2310.07899,Sébastien M. R. Arnold,Google Research,-122.084057,37.421999
2310.07899,Karl Pertsch,"University of California, Berkeley",-122.258540,37.871853
2310.07899,Karl Pertsch,Stanford University,-122.169365,37.427475
2310.07899,Erdem Bıyık,"Thomas Lord Department of Computer Science, University of Southern California",-118.285117,34.022352
2310.07899,Erdem Bıyık,"University of California, Berkeley",-122.258540,37.871853
2310.07899,Dorsa Sadigh,Stanford University,-122.169365,37.427475
2310.07899,Chelsea Finn,Stanford University,-122.169365,37.427475
2310.07899,Laurent Itti,"Thomas Lord Department of Computer Science, University of Southern California",-118.285117,34.022352
2310.03003,Siddharth Samsi,MIT,-71.09416,42.360091
2310.03003,Dan Zhao,NYU,-73.9964609,40.7295134
2310.03003,Joseph McDonald,MIT,-71.09416,42.360091
2310.03003,Baolin Li,Northeastern University,-71.0891717,42.3398067
2310.03003,Adam Michaleas,MIT,-71.09416,42.360091
2310.03003,Michael Jones,MIT,-71.09416,42.360091
2310.03003,William Bergeron,MIT,-71.09416,42.360091
2310.03003,Jeremy Kepner,MIT,-71.09416,42.360091
2310.03003,Devesh Tiwari,Northeastern University,-71.0891717,42.3398067
2310.03003,Vijay Gadepally,MIT,-71.09416,42.360091
2310.04678,Jianyou Wang,"Laboratory for Emerging Intelligence, University of California, San Diego, La Jolla, CA 92093",-117.234013,32.880060
2310.04678,Kaicheng Wang,"Laboratory for Emerging Intelligence, University of California, San Diego, La Jolla, CA 92093",-117.234013,32.880060
2310.04678,Xiaoyue Wang,"Laboratory for Emerging Intelligence, University of California, San Diego, La Jolla, CA 92093",-117.234013,32.880060
2310.04678,Prudhviraj Naidu,"Laboratory for Emerging Intelligence, University of California, San Diego, La Jolla, CA 92093",-117.234013,32.880060
2310.04678,Leon Bergen,"Laboratory for Emerging Intelligence, University of California, San Diego, La Jolla, CA 92093",-117.234013,32.880060
2310.04678,Ramamohan Paturi,"Laboratory for Emerging Intelligence, University of California, San Diego, La Jolla, CA 92093",-117.234013,32.880060
2310.14338,Megha Sundriyal,Indraprastha Institute of Information Technology Delhi,77.2653,28.5459
2310.14338,Tanmoy Chakraborty,Indian Institute of Technology Delhi,77.1928,28.5450
2310.14338,Preslav Nakov,Mohammed Bin Zayed University of Artificial Intelligence,54.6146,24.2992
2310.13506,Sagnik Ray Choudhury,University of Michigan,-83.738224,42.278044
2310.13506,Pepa Atanasova,University of Copenhagen,12.572307,55.678620
2310.13506,Isabelle Augenstein,University of Copenhagen,12.572307,55.678620
2310.01299,Wei Sun,"KU Leuven, Leuven, Belgium",4.70093,50.879202
2310.01299,Mingxiao Li,"KU Leuven, Leuven, Belgium",4.70093,50.879202
2310.01299,Damien Sileo,"Inria Centre, Lille",3.05858,50.63373
2310.01299,Jesse Davis,"KU Leuven, Leuven, Belgium",4.70093,50.879202
2310.01299,Marie-Francine Moens,"KU Leuven, Leuven, Belgium",4.70093,50.879202
2310.07521,Cunxiang Wang,"Westlake University, Hangzhou, China",120.086823,30.24185
2310.07521,Xiaoze Liu,"Purdue University, IN, USA",-86.92901,40.423705
2310.07521,Yuanhao Yue,"Fudan University, Shanghai, China",121.50307,31.296263
2310.07521,Xiangru Tang,"Yale University, CT, USA",-72.922343,41.316324
2310.07521,Tianhang Zhang,"Shanghai Jiao Tong University, Shanghai, China",121.437866,31.202001
2310.07521,Cheng Jiayang,"Hong Kong University of Science and Technology, Hong Kong SAR, China",114.263518,22.3364
2310.07521,Yunzhi Yao,"Zhejiang University, Hangzhou, China",120.093407,30.308978
2310.07521,Wenyang Gao,"Westlake University, Hangzhou, China",120.086823,30.24185
2310.07521,Xuming Hu,"Tsinghua University, Beijing, China",116.326512,40.002652
2310.07521,Zehan Qi,"Tsinghua University, Beijing, China",116.326512,40.002652
2310.07521,Yidong Wang,"Westlake University, Hangzhou, China",120.086823,30.24185
2310.07521,Linyi Yang,"Westlake University, Hangzhou, China",120.086823,30.24185
2310.07521,Jindong Wang,"Microsoft Research, Beijing, China",116.333374,39.984364
2310.07521,Xing Xie,"Microsoft Research, Beijing, China",116.333374,39.984364
2310.07521,Zheng Zhang,"NYU Shanghai University, Shanghai, China",121.499176,31.240364
2310.07521,Yue Zhang,"Westlake University, Hangzhou, China",120.086823,30.24185
2310.10920,Anurag Acharya,Pacific Northwest National Laboratory,-119.284462,46.344139
2310.10920,Sai Munikoti,Pacific Northwest National Laboratory,-119.284462,46.344139
2310.10920,Aaron Hellinger,Pacific Northwest National Laboratory,-119.284462,46.344139
