link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/swoon-the-dreamy-italian-villa-from-call-me-by_us_5a8ee107e4b0d0e89988e41d,*Swoon*: The Dreamy Italian Villa From ‘Call Me By Your Name’ Is For Sale,TRAVEL,We’re calling our broker ASAP.,"PureWow, Editorial Partner",2018-02-27
https://www.huffingtonpost.com/entry/errol-musk-elon-musk-stepdaughter_us_5ab9113ee4b0decad04c68c3,"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan'",BUSINESS,The young woman was only 4 years old when Errol Musk married her mother.,Jenna Amatulli,2018-03-26
https://www.huffingtonpost.com/entry/toys-r-us-jingle-minor-key_us_5aab60b0e4b0337adf82a87b,This Sad Version Of The Toys R Us Jingle Will Hit You Where It Hurts,BUSINESS,Sniff.,Ed Mazza,2018-03-16
https://www.huffpost.com/entry/biden-climate-executive-orders-agenda-stalls_n_62d75058e4b0a6852c30c61b,Biden Takes Modest Executive Action After Climate Agenda Stalls In Congress,POLITICS,The executive push includes $2.3 billion in climate resilience funding and a first step toward opening the Gulf of Mexico to offshore wind development.,Chris D'Angelo,2022-07-20
https://www.huffingtonpost.com/entry/lonely-planets-top-european-destinations-of-2018_us_5b0420b1e4b07309e05c5389,Lonely Planet's Top European Destinations Of 2018 Take Aim At Overtourism,TRAVEL,These underrated travel destinations in Europe won't be full of tourists.,Brittany Nims,2018-05-22
https://www.huffpost.com/entry/democratic-primary-rhode-island-retiring_n_631d6772e4b0eac9f4d81d5a,Electability Is On The Ballot In Key Rhode Island House Primary,POLITICS,Democrats in the state’s more moderate House district are deciding who will take on a popular Republican former mayor.,Daniel Marans,2022-09-12
https://www.huffpost.com/entry/fox-news-steve-doocy-trump-classified-documents_n_630f8a35e4b07744a2fc6e7d,‘Fox & Friends’ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,POLITICS,"""These are the biggest secrets in the world,"" Steve Doocy said in response to the ex-president keeping top secret documents at his private residence.",Sanjana Karanth,2022-08-31
https://www.huffpost.com/entry/the-psychology-behind-why-we-hate-watch_l_61bcecede4b04b42ab5fa761,The Psychology Behind Why We Hate-Watch,WELLNESS,"""Emily in Paris"" returns to Netflix this week, which means plenty of us will be hate-streaming. There's a sociological and psychological reason we do it.",Brittany Wong,2021-12-23
https://www.huffpost.com/entry/bc-us-black-friday-shopping_n_61a0b683e4b0ae9a42ad1959,Stores Kick Off Black Friday But Pandemic Woes Linger,BUSINESS,Retailers are expected to usher in the unofficial start to the holiday shopping season Friday with bigger crowds than last year in a closer step toward normalcy.,"ANNE D'INNOCENZIO, AP",2021-11-26
https://www.huffpost.com/entry/new-zealand-all-whites-name-change_n_6122e5fde4b0e5b5d8eb1671,New Zealand 'All Whites' Soccer Team Drops Nickname,SPORTS,The team said it was carrying out a variety of measures aimed at improving its cultural inclusivity.,"Steve McMorran, AP",2021-08-23
